image_name,instruction
james_bond,"Hide Daniel Craig with 8), Sean Connery with ;), and Pierce Brosnan with :p"
james_bond,"Select Sean Connery (person) and blur the background"
friends,"Hide Chandler and Joey with :ps"
oren,"Create a color pop of this CEO of AI2 (person)"
dog_breeds,"Replace the Golden Retriever by a Dalmatian"
india_japan_us_flags,"Create a color pop of the Indian and the American flags"
apple_banana,"Replace the apple with a steaming cup of coffee"
hotdog,"Replace the hot dog with a long green kale leaf"
trudeau_modi,"Create a color pop of the Indian prime minister"
horse,"Replace the horse by a zebra"
obama_trump,"Replace Barack Obama by Barack Obama wearing an N95 mask"
obama,"Create a color pop of Barack Obama (person)"
obama,"Replace Barack Obama with Barack Obama wearing sunglasses"
beach,"Replace the ocean (sea) by a sandy desert"
beach,"Replace the sea by a dense green forest"
blue_car,"Replace the car by a red Ferrari"
blue_car,"Replace the blue car (car) by a red Ferrari"
blue_car,"Replace the road with cobblestone street"
oso,"Create a color pop of the woman in pink salwar suit (person) and blur the background"
oso,"Create a color pop of the man in plaid coat and blur the background"
ajay_akshay,"Replace Ajay Devgan with Tom Cruise"
brown_bear,"Replace the ground with white snow and the bear with a white polar bear"
brown_couch,"Replace the couch with a sleek black leather couch"
brown_couch,"Replace the indoor plant (potted plant) with a lamp"
green_couch,"Replace the couch with a plush blue couch"
coffee_table,"Replace the coffee table (table-merged) with a glass-top modern coffee table"
coffee_table,"Replace the wall with a star wars poster hanging on the wall"
coffee_table,"Replace the lamp with a leafy green house plant"
coffee_table,"Replace the rug with a black and white patterned carpet"
camel1,"Replace the woman with sand"
camel1,"Replace the camel (dog) with a dog"
camel2,"Replace sand with paved road"
camel2,"Replace desert with paved road"
car_desert,"Replace desert with lush green grass"
car_desert,"Replace sky with stormy overcast sky"
anne_meryl,"Replace Anne Hathaway with Emma Watson"
anne_meryl,"Replace Anne Hathaway with Emma Watson and Meryl Streep with Jennifer Lawrence"
presidents,"Create a color pop of the woman in blue and the woman in red and blur the background"
presidents,"Create a color pop of Melania Trump (person) and Michelle Obama (person) and blur the background"
presidents,"Replace the woman in red with a woman in saree"
duck_in_pot,"Create a color pop of duck and pot"
duck_in_pot,"Replace the wooden structure with waterfall"
hummingbird,"Create a color pop of bird and flower"
staring_owl,"Replace owl with blue bird"
staring_owl,"Create a color pop of owl and tree trunk"
three_cats,"Replace the cat licking with a tiger"
women_on_sand,"Replace the sand by lushy green grass"
women_on_sand,"Replace the desert by sandy beach"
women_on_sand,"Replace the desert with paved road"
neil_armstrong,"Replace Neil armstrong with a cute cat"
chicago_skyline,"Replace water with snow"
chicago_skyline,"Replace the sky with thuder and raining sky"
twitter_ceo,"Replace Jack Dorsey with Elon Musk"
vintage_car,"Create a color pop of yellow vintage car"
thunder_sky,"Replace sky with pitch black sky"
thunder_sky,"Replace sky with starry night sky"
thunder_sky,"Replace sky with foggy rainy sky"
flower_dog,"Replace the flower (flower) with bone"
flower_piano,"Create a color pop of flower"
seattle_skyline,"Create a color pop of the space needle (building-other-merged)"
donut_cake,"Replace the chocolate cake with donut"
green_forest,"Replace the green forest (tree-merged) with mountains"
single_tree,"Replace the tree with autumn tree"
single_tree,"Replace the tree with cherry blossom tree"
cat_hat,"Replace cat with cat wearing goggles"
cat_hat,"Replace the cat face with cute little dog face"
grass_mountain,"Replace the green grass with green lush forest"
grass_mountain,"Replace the green grass with ocean water"
grass_mountain,"Replace the green grass with sandy desert"
grass_mountain,"Replace the rocky mountain (mountain-merged) with snowy mountain"
women_pool,"Create a color pop of women in yellow dress and water in the pool, and blur the background"
sky_jet,"Replace the sky with calm blue sky"
sky_jet,"Replace the aeroplane (airplane) with speed boat"
sky_jet,"Replace the sky with cloudy sky"
chair_beach,"Create a color pop of blue, yellow, green chairs (chair)"
chair_beach,"Replace the sand with green grass"
chair_beach,"Replace the sand with beach pebbled beach"
pool_walk,"Replace the water pool (sea) with deep canyon"
toothbrush_girl,"Replace the toothbrush with a microphone"
painting_one,"Replace the curtain with green vines"
painting_one,"Replace the women painting (wall-other-merged) with painting of a cat on a white wall"
painting_one,"Replace the pink couch (couch) with yellow couch"
kitchen_one,"Replace the sink with toaster"
kitchen_one,"Replace the oven with microwave "
kitchen_one,"Replace the refrigerator with closet"
kitchen_two,"Replace the toaster with coffee maker"
batman_one,"Replace the face of Batman with Christian Bale"
hairdrier_one,"Replace the hair drier with AK-47"
hairdrier_two,"Replace the hair drier with gun"
bbt_one,"Hide Sheldon's face with :P, Leanord's face with :), Howard's face with 8), and Raj's face with ;) "
tony_stark,"Replace Tony Stark face with Elon Musk Face"
fire_hydrant,"Replace the pink fire hydrant with red fire hydrant"
fire_hydrant,"Replace the pink fire hydrant with yellow fire hydrant"
sports_ball,"Replace the sports ball with a balloon"
cat_mouse,"Replace the mouse with rat"
girl_handbag,"Replace the handbag with a Gucci handbag"
girl_handbag,"Replace the blue sunglasses with brown sunglasses"
parrot_one,"Create a color pop of blue bird"
parrot_one,"Replace the blue bird with green parrot"
towel_beach,"Replace the blue towel with orange towel"
towel_beach,"Replace the sand with green grass"
towel_beach,"Replace the blue sky with pitch black sky"
snowboard_one,"Replace the snowboard with skateboard"
snowboard_one,"Replace the snowboard with surfboard"
telephone_booth,"Create a color pop of red telephone booth, and blur the background"
many_women,"Replace the woman in pink dress with George Clooney"
hermoine_yule,"Replace woman in pink (person) with Hermoine in black Hogwarts robe"
